BlueDriver Data Log Dec-16-2017 4:56:34 PM
Time_s, Short-Term-Fuel-Trim-Bank-1_percent, Calculated-Engine-Load-Value_percent, Vehicle-Speed_km/h, Intake-Air-Temperature_C, Engine-Coolant-Temperature_C, Long-Term-Fuel-Trim-Bank-1_percent, Intake-Manifold-Absolute-Pressure_kPa, Engine-RPM_rpm, Absolute-Throttle-Position_percent, Timing-Advance-for-Number-1-cylinder_degree
0.0, *, *, *, *, *, *, *, *, *, *
1.2, *, 24.9, 71, 46, 88, -5.5, 35.1, 1620, 1.9, 
2.4, 0.0, 35.0, 70, 46, 88, -5.5, 61.8, 1896, 22.7, 22.7
3.6, 0.0, 79.6, 72, 46, 88, -6.0, 81.6, 2255, 43.5, 11.4
4.8, -0.9, 95.8, 75, 45, 88, -6.9, 90.0, 2890, 55.6, 12.2
6.0, -3.6, 94.6, 80, 44, 88, -6.6, 98.6, 3134, 64.9, 16.0
7.2, -0.0, 99.5, 84, 44, 88, -6.1, 98.0, 3116, 61.2, 17.6
8.4, 2.5, 98.9, 88, 43, 88, -5.5, 93.4, 3366, 67.6, 16.2
9.6, -4.5, 95.4, 94, 42, 88, -6.1, 97.6, 3562, 69.2, 16.5
10.8, -2.3, 100.0, 98, 42, 87, -7.0, 96.9, 3677, 64.3, 17.7
12.0, 0.6, 99.8, 102, 40, 87, -6.9, 93.7, 3707, 61.3, 16.9
13.2, -2.9, 95.2, 106, 40, 87, -7.0, 91.0, 3701, 43.9, 19.2
14.4, -4.3, 86.0, 109, 41, 87, -7.0, 88.7, 3936, 44.0, 19.1
15.6, -10.5, 34.5, 112, 41, 87, -6.7, 88.9, 3814, 40.4, 20.5
16.8, -13.1, 36.3, 114, 41, 86, -6.3, 82.0, 2858, 13.9, 22.6
18.0, -17.4, 38.8, 113, 40, 86, -6.3, 87.8, 2974, 15.5, 25.0
19.2, -12.6, 55.7, 115, 40, 86, -6.3, 95.0, 3130, 56.7, 18.2
20.4, -1.6, 96.7, 116, 40, 87, -6.3, 74.8, 3449, 51.3, 13.1
21.6, -1.6, 83.5, 117, 40, 87, -7.0, 57.9, 3783, 18.9, 22.7
22.8, -1.8, 62.6, 118, 40, 87, -9.3, 66.5, 2933, 19.2, 23.0
24.0, -5.3, 63.8, 118, 40, 87, -9.4, 69.0, 2971, 19.2, 24.1
25.2, -4.4, 64.2, 119, 40, 87, -9.3, 71.7, 2841, 19.6, 23.1
26.4, -0.8, 59.4, 117, 40, 87, -7.8, 61.4, 2850, 19.2, 22.0
27.6, -5.7, 52.2, 119, 40, 87, -4.7, 26.9, 2653, 0.0, 28.6
28.8, -18.6, 13.7, 115, 40, 87, -5.4, 49.5, 2795, 3.7, 34.4
30.0, -10.0, 13.7, 117, 40, 87, -6.3, 90.6, 3103, 40.9, 17.0
31.2, 2.3, 13.7, 117, 40, 87, -6.6, 93.3, 3160, 43.8, 16.5
32.4, 0.7, 36.0, 119, 40, 87, -7.0, 96.0, 3210, 51.8, 17.1
33.6, -1.6, 97.0, 120, 40, 87, -6.7, 95.5, 3242, 51.8, 16.5
34.8, 0.7, 97.0, 121, 40, 87, -6.3, 92.8, 3225, 38.7, 17.5
36.0, 4.7, 92.2, 122, 39, 87, -6.9, 92.1, 3258, 39.6, 17.1
37.2, 1.5, 92.6, 123, 39, 87, -7.0, 90.8, 3274, 39.0, 18.3
38.4, -3.1, 90.5, 124, 38, 87, -7.0, 91.0, 3294, 39.2, 18.0
39.6, -4.1, 91.8, 125, 38, 87, -7.0, 91.0, 3305, 38.3, 18.1
40.8, -3.5, 92.4, 126, 38, 87, -7.0, 89.8, 3289, 38.8, 18.2
42.0, 0.8, 90.6, 126, 38, 87, -7.3, 91.2, 3331, 39.2, 18.6
43.2, -0.6, 92.2, 127, 38, 87, -7.8, 91.4, 3328, 39.8, 18.3
44.4, -3.9, 92.6, 127, 37, 87, -7.8, 92.0, 3362, 40.9, 18.0
45.6, -1.3, 93.7, 128, 37, 87, -7.7, 92.0, 3373, 41.5, 18.3
46.8, 2.9, 93.4, 129, 37, 87, -7.0, 90.7, 3387, 42.0, 18.5
48.0, -2.3, 93.5, 129, 37, 87, -7.0, 92.1, 3397, 41.8, 18.7
49.2, -2.1, 93.3, 130, 37, 87, -7.0, 92.0, 3408, 43.3, 18.5
50.4, -0.8, 91.8, 131, 37, 87, -7.0, 93.0, 3444, 45.1, 18.6
51.6, -1.5, 93.4, 131, 37, 87, -7.0, 92.3, 3434, 45.1, 18.5
52.8, -4.7, 93.1, 131, 37, 87, -7.0, 92.7, 3454, 44.8, 18.5
54.0, -2.6, 94.0, 132, 37, 87, -7.0, 91.6, 3432, 42.2, 18.7
55.2, 0.8, 93.3, 129, 37, 87, -6.2, 62.7, 3251, 31.7, 21.9
56.4, -9.5, 58.3, 128, 37, 87, -5.8, 22.0, 2886, 0.0, 35.0
57.6, -17.5, 11.8, 123, 37, 87, -9.3, 19.8, 2758, 0.0, 26.5
58.8, 0.0, 12.0, 119, 37, 87, -9.4, 17.9, 2595, 0.0, 0.3
60.0, 0.0, 12.2, 114, 37, 88, -9.4, 17.1, 2287, 0.0, 0.0
61.2, 0.0, 13.0, 110, 37, 88, -9.4, 17.1, 2303, 0.0, 0.3
62.4, 0.0, 12.9, 103, 38, 88, -9.3, 18.1, 2179, 0.0, 0.0
63.6, 0.0, 13.1, 100, 38, 88, -9.1, 20.4, 2045, 0.0, 0.3
64.8, -0.7, 13.3, 95, 38, 87, -7.0, 83.1, 2364, 8.7, 4.2
66.0, -10.0, 49.3, 94, 38, 87, -7.2, 84.5, 2701, 25.4, 16.1
67.2, -9.5, 82.7, 93, 38, 87, -7.8, 87.5, 2774, 27.4, 15.8
68.4, -3.9, 81.3, 94, 37, 87, -8.4, 88.6, 2797, 29.8, 15.5
69.6, -2.0, 82.1, 95, 37, 87, -9.4, 89.6, 2821, 30.9, 15.5
70.8, 3.9, 81.8, 98, 37, 87, -9.1, 90.0, 2812, 31.1, 15.5
